어휘,등급
다정하다,1
다지다,1
다짐,1
다짐하다,1
다치다,1
다투다,1
다툼,1
다행,1
다행히,1
닦다,1
닦이다,1
단,1
단계,1
단단하다,1
단단히,1
단둘,1
단맛,1
단정하다,1
단지,1
단체,1
단추,1
단풍,1
단풍잎,1
닫다,1
닫히다,1
달,1
달걀,1
달님,1
달다,1
달다,1
달다,1
달라붙다,1
달라지다,1
달래다,1
달려가다,1
달려들다,1
달려오다,1
달력,1
달리기,1
달리기하다,1
달리다,1
달리다,1
달빛,1
달아나다,1
달콤하다,1
달팽이,1
닭,1
닭고기,1
닮다,1
닳다,1
담,1
담그다,1
담다,1
담배,1
담요,1
담임,1
담장,1
답,1
답답하다,1
답장,1
답하다,1
당근,1
당기다,1
당시,1
당신,1
당연하다,1
당연히,1
당장,1
당하다,1
당황스럽다,1
당황하다,1
닿다,1
대,1
대강,1
대개,1
대결,1
대결하다,1
대나무,1
대낮,1
대다,1
대단하다,1
대단히,1
대답,1
대답하다,1
대들다,1
대로,1
대머리,1
대문,1
대변,1
대부분,1
대신,1
대신하다,1
대왕,1
대장,1
대청소,1
대청소하다,1
대체,1
대추,1
대충,1
대통령,1
대포,1
대표,1
대하다,1
대한민국,1
대화,1
대화하다,1
대회,1
댁,1
더,1
더듬다,1
더러워지다,1
더럽다,1
더럽히다,1
더욱,1
더욱더,1
더워지다,1
더위,1
더하기,1
더하다,1
덕,1
덕분,1
던지다,1
덜,1
덜다,1
덜덜,1
덜컥,1
덜하다,1
덤벼들다,1
덤비다,1
덥다,1
덥석,1
덧붙이다,1
덩어리,1
덩치,1
덮개,1
덮다,1
덮이다,1
덮치다,1
데,1
데려가다,1
데려다주다,1
데려오다,1
데리다,1
데우다,1
도,1
도구,1
도깨비,1
도끼,1
도대체,1
도둑,1
도둑맞다,1
도둑질,1
도둑질하다,1
도로,1
도로,1
도리도리,1
도마,1
도마뱀,1
도망,1
도망가다,1
도망치다,1
도서관,1
도시,1
도시락,1
도와드리다,1
도와주다,1
도움,1
도자기,1
도장,1
도저히,1
도전,1
도전하다,1
도착,1
도착하다,1
도토리,1
독,1
독감,1
독서,1
독서하다,1
독수리,1
독하다,1
돈,1
돈가스,1
돋다,1
돋보기,1
돋아나다,1
돌,1
돌,1
돌고래,1
돌다,1
돌돌,1
돌려보내다,1
돌려주다,1
돌리다,1
돌멩이,1
돌보다,1
돌아가다,1
돌아다니다,1
돌아보다,1
돌아서다,1
돌아오다,1
돌이키다,1
돕다,1
돗자리,1
동,1
동,1
동갑,1
동굴,1
동그라미,1
동그랗다,1
동글동글,1
동글동글하다,1
동네,1
동동,1
동물,1
동물원,1
동산,1
동상,1
동생,1
동시,1
동안,1
동요,1
동작,1
동전,1
동쪽,1
동치미,1
동화,1
동화책,1
돼지,1
돼지고기,1
되게,1
되다,1
되돌다,1
되돌리다,1
되돌아가다,1
되돌아오다,1
되묻다,1
되찾다,1
되풀이하다,1
된장,1
된장국,1
된장찌개,1
두,1
두근거리다,1
두껍다,1
두다,1
두더지,1
두드리다,1
두들기다,1
두려움,1
두려워하다,1
두렵다,1
두르다,1
두부,1
두세,1
두유,1
두툼하다,1
둔하다,1
둘,1
둘러보다,1
둘러싸다,1
둘러싸이다,1
둘레,1
둘째,1
둥글다,1
둥실둥실,1
둥지,1
뒤,1
뒤덮다,1
뒤덮이다,1
뒤뚱뒤뚱,1
뒤바뀌다,1
뒤적거리다,1
뒤지다,1
뒤집다,1
뒤집어쓰다,1
뒤집히다,1
뒤쪽,1
뒤처지다,1
뒤통수,1
뒤편,1
뒷면,1
뒷모습,1
뒷문,1
뒷부분,1
뒷사람,1
뒷산,1
뒷자리,1
뒷줄,1
뒷집,1
뒹굴다,1
드디어,1
드라마,1
드러내다,1
드러눕다,1
드레스,1
드리다,1
든든하다,1
듣다,1
들,1
들다,1
들다,1
들려오다,1
들려주다,1
들르다,1
들리다,1
들리다,1
들어가다,1
들어서다,1
들어오다,1
들어주다,1
들여놓다,1
들여다보다,1
들여보내다,1
들이다,1
들이대다,1
들키다,1
들판,1
듬뿍,1
듯,1
듯이,1
듯하다,1
등,1
등,1
등,1
등,1
등산,1
등산하다,1
등장,1
등장하다,1
따갑다,1
따끔하다,1
따다,1
따듯하다,1
따뜻하다,1
따라가다,1
따라다니다,1
따라오다,1
따라잡다,1
따로,1
따로따로,1
따르다,1
따르다,1
따르릉,1
따르릉따르릉,1
따스하다,1
따지다,1
딱,1
딱,1
딱,1
딱딱,1
딱딱하다,1
딱지,1
딴,1
딴딴하다,1
딸,1
딸기,1
땀,1
땅,1
땅바닥,1
땅속,1
땅콩,1
때,1
때,1
때때로,1
때리다,1
때문,1
땡,1
떠나가다,1
떠나다,1
떠내려가다,1
떠다니다,1
떠돌다,1
떠돌아다니다,1
떠들다,1
떠들썩하다,1
떠오르다,1
떠올리다,1
떡,1
떡볶이,1
떨구다,1
떨다,1
떨리다,1
떨어뜨리다,1
떨어지다,1
떼,1
떼,1
떼다,1
또,1
또는,1
또다시,1
또렷하다,1
또박또박,1
또한,1
똑,1
똑같다,1
똑같이,1
똑딱똑딱,1
똑똑,1
똑똑하다,1
똑바로,1
똥,1
똥구멍,1
뚜껑,1
뚜벅뚜벅,1
뚝뚝,1
뚫다,1
뚫리다,1
뚫어지다,1
뚱뚱하다,1
뛰놀다,1
뛰다,1
뛰다,1
뛰어가다,1
뛰어나다,1
뛰어나오다,1
뛰어내리다,1
뛰어넘다,1
뛰어놀다,1
뛰어다니다,1
뛰어들다,1
뛰어오다,1
뜨거워지다,1
뜨겁다,1
뜨다,1
뜨다,1
뜨다,1
뜯기다,1
뜯다,1
뜯어보다,1
뜰,1
뜻,1
띄우다,1
띄우다,1
띠,1
띠다,1
라디오,1
라면,1
라이터,1
로봇,1
로켓,1
리,1
리모컨,1
리본,1
마구,1
마녀,1
마늘,1
마당,1
마렵다,1
마루,1
마르다,1
마리,1
마무리,1
마무리하다,1
마법,1
마술,1
마술사,1
마스크,1
마시다,1
마요네즈,1
마을,1
마음,1
마음껏,1
마음대로,1
마음먹다,1
마음속,1
마음씨,1
마이크,1
마주,1
마주치다,1
마중,1
마지막,1
마차,1
마찬가지,1
마치,1
마치다,1
마침,1
마침내,1
마흔,1
막,1
막,1
막내,1
막다,1
막대기,1
막히다,1
만,1
만나다,1
만두,1
만들다,1
만만하다,1
만세,1
만약,1
만일,1
만족,1
만족하다,1
만지다,1
만큼,1
만하다,1
만화,1
만화책,1
많다,1
많아지다,1
많이,1
말,1
말,1
말다,1
말다,1
말다,1
말랑말랑하다,1
말리다,1
말리다,1
말소리,1
말썽,1
말씀,1
말씀하다,1
말없이,1
말투,1
말하다,1
맑다,1
맘,1
맘대로,1
맛,1
맛나다,1
맛보다,1
맛없다,1
맛있다,1
망가뜨리다,1
망가지다,1
망설이다,1
망원경,1
망치,1
망치다,1
망하다,1
맞다,1
맞다,1
맞다,1
맞대다,1
맞은편,1
맞이하다,1
맞추다,1
맞히다,1
맞히다,1
맡기다,1
맡다,1
맡다,1
매,1
매끄럽다,1
매니큐어,1
매다,1
매달다,1
매달리다,1
매미,1
매우,1
매일,1
매일매일,1
매주,1
매트,1
맨,1
맨날,1
맨몸,1
맨발,1
맨손,1
맴맴,1
맵다,1
맹세하다,1
맺다,1
머리,1
머리띠,1
머리카락,1
머릿속,1
머물다,1
머뭇거리다,1
먹구름,1
먹다,1
먹다,1
먹이,1
먹이다,1
먹히다,1
먼저,1
먼지,1
멀다,1
멀리,1
멀리하다,1
멀미,1
멀어지다,1
멀쩡하다,1
멈추다,1
멋,1
멋대로,1
멋있다,1
멋지다,1
멍,1
멍들다,1
멍멍,1
멍멍이,1
멍청이,1
멍청하다,1
멍하니,1
멍하다,1
메뉴,1
메다,1
메달,1
메뚜기,1
메롱,1
메모,1
메모하다,1
메시지,1
메아리,1
메우다,1
며칠,1
면,1
멸치,1
명,1
명령,1
명령하다,1
몇,1
몇몇,1
모금,1
모기,1
모두,1
모든,1
모래,1
모래성,1
모레,1
모르다,1
모습,1
모시다,1
모양,1
모여들다,1
모으다,1
모이다,1
모임,1
모자,1
모자라다,1
모조리,1
모퉁이,1
모험,1
목,1
목,1
목걸이,1
목구멍,1
목도리,1
목마르다,1
목소리,1
목숨,1
목요일,1
목욕,1
목욕탕,1
목욕하다,1
목적지,1
몰다,1
몰래,1
몰려들다,1
몰려오다,1
몸,1
몸무게,1
몸부림,1
몸살,1
몸집,1
몸통,1
몹시,1
못,1
못,1
못되다,1
못살다,1
못생기다,1
못하다,1
몽둥이,1
몽땅,1
무,1
무거워지다,1
무겁다,1
무게,1
무관심하다,1
무궁화,1
무기,1
무너뜨리다,1
무너지다,1
무늬,1
무당벌레,1
무대,1
무더위,1
무덤,1
무덥다,1
무럭무럭,1
무렵,1
무료,1
무릎,1
무리,1
무사하다,1
무사히,1
무서워하다,1
무섭다,1
무술,1
무슨,1
무시,1
무시무시하다,1
무시하다,1
무엇,1
무용,1
무작정,1
무조건,1
무지,1
무지개,1
무척,1
무치다,1
묵,1
묶다,1
묶음,1
묶이다,1
문,1
문득,1
문밖,1
문어,1
문제,1
문지르다,1
문짝,1
묻다,1
묻다,1
묻다,1
묻어나다,1
묻히다,1
묻히다,1
물,1
물가,1
물감,1
물개,1
물거품,1
물건,1
물결,1
물고기,1
물기,1
물놀이,1
물놀이하다,1
물다,1
물들다,1
물들이다,1
물러가다,1
물러나다,1
물러서다,1
물려받다,1
물려주다,1
물론,1
물리다,1
물리치다,1
물방울,1
물속,1
물안경,1
물어뜯다,1
물어보다,1
물음,1
물음표,1
물총,1
물컵,1
물통,1
물티슈,1
뭉치다,1
뭐,1
뭣,1
미꾸라지,1
미끄러지다,1
미끄럼,1
미끄럼틀,1
미끄럽다,1
미끼,1
미래,1
미로,1
미루다,1
미리,1
미리미리,1
미소,1
미술,1
미술관,1
미아,1
미안,1
미안하다,1
미역,1
미역국,1
미용사,1
미용실,1
미움,1
미워하다,1
미지근하다,1
미치다,1
민들레,1
민족,1
믿다,1
밀가루,1
밀다,1
밀려나다,1
밀려들다,1
밀려오다,1
밀리다,1
밀리다,1
밀어내다,1
밀어붙이다,1
밀어주다,1
밀치다,1
밉다,1
밑,1
밑바닥,1
바가지,1
바구니,1
바깥,1
바깥쪽,1
바꾸다,1
바뀌다,1
바나나,1
바느질,1
바느질하다,1
바늘,1
바다,1
바닥,1
바닥나다,1
바닷가,1
바닷물,1
바둑,1
바라다,1
바라보다,1
바람,1
바람,1
바람개비,1
바로,1
바르다,1
바르다,1
바보,1
바쁘다,1
바스락,1
바싹,1
바위,1
바이러스,1
바이올린,1
바지,1
바짝,1
바치다,1
바퀴,1
바퀴벌레,1
박다,1
박물관,1
박사,1
박살,1
박수,1
박스,1
박쥐,1
박히다,1
밖,1
반,1
반,1
반가워하다,1
반갑다,1
반기다,1
반년,1
반달,1
반대,1
반대쪽,1
반대편,1
반대하다,1
반드시,1
반듯하다,1
반바지,1
반반,1
반복,1
반복하다,1
반성,1
반성하다,1
반장,1
반주,1
반죽,1
반지,1
반짝,1
반짝거리다,1
반짝반짝,1
반짝이다,1
반쪽,1
반찬,1
반칙,1
반팔,1
반하다,1
받다,1
받치다,1
받침,1
발,1
발가락,1
발걸음,1
발견,1
발견하다,1
발끝,1
발뒤꿈치,1
발등,1
발레,1
발명,1
발명가,1
발명하다,1
발목,1
발바닥,1
발버둥,1
발사,1
발사하다,1
발음,1
발자국,1
발짝,1
발톱,1
발판,1
발표,1
발표하다,1
발표회,1
밝다,1
밝혀내다,1
밝히다,1
밟다,1
밟히다,1
밤,1
밤,1
밤길,1
밤나무,1
밤낮,1
밤늦다,1
밤새,1
밤새다,1
밤잠,1
밤중,1
밤하늘,1
밥,1
밥그릇,1
밥맛,1
밥상,1
밧줄,1
방,1
방귀,1
방금,1
방망이,1
방문,1
방문,1
방바닥,1
방법,1
방석,1
방송,1
방송국,1
방송하다,1
방어,1
방울,1
방울,1
방패,1
방학,1
방학하다,1
방해,1
방해하다,1
방향,1
밭,1
배,1
배,1
배,1
배,1
배고프다,1
배고픔,1
배구,1
배꼽,1
배낭,1
배달,1
배달되다,1
배달원,1
배달하다,1
배부르다,1
배불리,1
배우,1
배우다,1
배추,1
배탈,1
배터리,1
백,1
백성,1
백인,1
백화점,1
밴드,1
뱀,1
뱃속,1
뱅뱅,1
뱉다,1
버럭,1
버릇,1
버리다,1
버섯,1
버스,1
버튼,1
버티다,1
번,1
번갈다,1
번개,1
번지다,1
번째,1
번쩍,1
번쩍번쩍,1
번호,1
벌,1
벌,1
벌,1
벌금,1
벌다,1
벌떡,1
벌레,1
벌리다,1
벌벌,1
벌써,1
벌어지다,1
벌어지다,1
벌이다,1
벌칙,1
범인,1
법,1
벗겨지다,1
벗기다,1
벗다,1
벗어나다,1
베개,1
베다,1
베란다,1
베이다,1
벨,1
벨트,1
벼,1
벼락,1
벽,1
벽돌,1
벽지,1
변기,1
변덕,1
변명,1
변명하다,1
변신,1
변신하다,1
변하다,1
별,1
별것,1
별로,1
별명,1
병,1
병,1
병들다,1
병실,1
병아리,1
병원,1
보건소,1
보관,1
보관하다,1
보기,1
보내다,1
보내오다,1
보너스,1
보다,1
보다,1
보라,1
보라색,1
보람,1
보름달,1
보리,1
보물,1
보살피다,1
보석,1
보이다,1
보이다,1
보일러,1
보자기,1
보태다,1
보통,1
보트,1
복,1
복도,1
복수,1
복숭아,1
복잡하다,1
복장,1
볶다,1
볼,1
볼,1
볼일,1
볼펜,1
봄,1
봄날,1
봄바람,1
봉지,1
봉투,1
봐주다,1
뵙다,1
부끄러워지다,1
부끄러워하다,1
부끄럼,1
부끄럽다,1
부담스럽다,1
부드럽다,1
부들부들,1
부딪치다,1
부딪히다,1
부러워하다,1
부러지다,1
부럽다,1
부르다,1
부리,1
부리다,1
부리다,1
부모,1
부모님,1
부부,1
부분,1
부상,1
부서지다,1
부수다,1
부시다,1
부엉이,1
부엌,1
부인,1
부인,1
부자,1
부잣집,1
부족,1
부족하다,1
부지런하다,1
부지런히,1
부채,1
부치다,1
부침개,1
부탁,1
부탁하다,1
부풀다,1
부풀리다,1
부품,1
부하,1
북,1
북,1
북극,1
북쪽,1
분,1
분,1
분명,1
분명하다,1
분명히,1
분수,1
분위기,1
분필,1
분하다,1
분홍,1
분홍색,1
불,1
불가능,1
불가능하다,1
불고기,1
불꽃,1
불꽃놀이,1
불나다,1
불다,1
불량,1
불러내다,1
불러오다,1
불리다,1
불리다,1
불만,1
불빛,1
불쌍하다,1
불쑥,1
불안하다,1
불어나다,1
불어넣다,1
불어오다,1
불쾌하다,1
불타다,1
불태우다,1
불편,1
불편하다,1
불평,1
불행,1
불행하다,1
붉다,1
붉은색,1
붐비다,1
붓,1
붓다,1
붕대,1
붕붕,1
붕어,1
붙다,1
붙들다,1
붙이다,1
붙잡다,1
붙잡히다,1
브레이크,1
블록,1
비,1
비교,1
비교하다,1
비누,1
비눗방울,1
비닐,1
비다,1
비둘기,1
비밀,1
비바람,1
비비다,1
비빔밥,1
비상,1
비슷비슷하다,1
비슷하다,1
비싸다,1
비옷,1
비우다,1
비웃다,1
비좁다,1
비추다,1
비치다,1
비키다,1
비타민,1
비틀거리다,1
비하다,1
비행,1
비행기,1
빈자리,1
빈틈없이,1
빌다,1
빌딩,1
빌려주다,1
빌리다,1
빗,1
빗다,1
빗물,1
빗방울,1
빗소리,1
빗자루,1
빗줄기,1
빙글빙글,1
빙빙,1
빙수,1
빚다,1
빛,1
빛나다,1
